Day,Sold Units,Restocked Units,Available Units
0,0,0,2000
0,0,0,2000
1,136,0,1864
2,160,0,1704
3,119,0,1585
4,12,0,1573
5,91,0,1482
6,130,0,1352
7,0,648,2000
7,0,0,2000
8,181,0,1819
9,125,0,1694
10,91,0,1603
11,138,0,1465
12,148,0,1317
13,6,0,1311
14,0,689,2000
14,0,0,2000
15,76,0,1924
16,200,0,1724
17,58,0,1666
18,34,0,1632
19,108,0,1524
20,150,0,1374
21,0,626,2000
21,0,0,2000
22,180,0,1820
23,147,0,1673
24,180,0,1493
25,163,0,1330
26,92,0,1238
27,41,0,1197
28,0,803,2000
28,0,0,2000
29,93,0,1907
30,152,0,1755
31,134,0,1621
32,190,0,1431
33,133,0,1298
34,87,0,1211
35,0,789,2000
35,0,0,2000
36,139,0,1861
37,53,0,1808
38,72,0,1736
39,103,0,1633
40,143,0,1490
41,68,0,1422
42,0,578,2000
42,0,0,2000
43,199,0,1801
44,129,0,1672
45,105,0,1567
46,81,0,1486
47,94,0,1392
48,48,0,1344
49,0,656,2000
49,0,0,2000
